Number of elements 658
   305 :  1.5880018e-18  1.5413050e-17 -7.8197697e-18
   306 : -2.5671685e-16 -1.1342167e-16  1.6223532e-16
   307 : -5.7136530e-07 -8.6423313e-08  8.1405743e-07
   308 :  1.8167790e-04  1.8968263e-05 -3.1375621e-04
   309 :  3.5116440e-01  6.7167458e-01  1.5904327e-01
   310 :  2.8397545e-02 -2.1588973e-03 -2.0698812e-03
   311 :  1.7780412e-10  4.6708425e-11 -3.5432715e-10
   312 : -9.1530275e-06 -3.6118150e-05  1.6578989e-05
   313 :  3.0664967e-14 -7.2082022e-14  2.3001079e-14
   314 :  8.8118269e-01  6.0194193e-01  9.2483319e-01
   315 :  2.0186823e-06  5.8867229e-07 -1.0334937e-06
   316 :  1.6980464e-11 -5.2022816e-11 -1.5359928e-12
   317 : -7.2586199e-11  5.0948104e-11 -4.4602697e-11
   318 :  7.4718208e-02  2.1962498e-01  4.3086148e-01
   319 :  8.9177879e-06  1.2269043e-05 -4.2667867e-05
   320 :  1.0171167e-03  1.5539860e-04 -3.6565863e-04
   321 :  1.6200643e-06  1.3797912e-07 -7.3680715e-07
   322 :  3.6135534e-01  1.8997362e-01 -1.7587551e-01
   323 :  8.2069637e-02  1.1032446e-01 -3.2367416e-02
   324 :  7.7242881e-01  2.7848802e-01  5.3840791e-01
   325 :  2.2131103e-22  6.3323088e-22 -1.5172821e-21
   326 : -1.9574079e-07  1.4926789e-07 -2.2170106e-07
   327 : -4.1644067e-04 -2.6995063e-05 -3.0682017e-04
   328 :  1.5017671e-21 -6.5038781e-21  2.6114874e-21
   329 : -5.2969212e-02  6.9958210e-02  1.2785397e-01
   330 : -9.7517258e-04  1.1100144e-03 -8.9969609e-05
   331 :  4.0206954e-02 -1.4972672e-02 -6.4770231e-03
   332 :  6.2682322e-11 -9.5135849e-11 -7.0031341e-11
   333 : -4.5214749e-04  1.6028461e-03  3.5939196e-03
   334 :  7.9743585e-08 -3.3145160e-07  1.2314376e-07
   335 :  5.2169717e-12 -1.7932200e-12 -8.3852780e-13
   336 : -2.5105972e-08  1.3980026e-08  3.7691966e-09
   337 :  5.3407548e-11 -5.9995932e-12 -3.1508965e-11
   338 :  2.6720286e-08 -3.2113327e-08  5.8472601e-09
   339 :  7.6831079e-04 -8.9216140e-03  2.5284915e-03
   340 :  3.8259752e-20 -4.9998513e-20 -2.9033892e-20
   341 :  3.9604752e-11 -4.1686213e-11 -4.8465059e-11
   342 : -1.7247984e-12  3.5690638e-12  9.7538273e-13
   343 :  2.0413006e-08  5.6019557e-08 -2.8638651e-08
   344 :  4.7453954e-07 -4.3621138e-07 -5.0177571e-08
   345 :  2.0220696e-03 -2.5076548e-03  9.3511984e-06
   346 : -4.8554864e-06  1.2361724e-05  3.6442255e-07
   347 : -5.3844959e-08  1.1980907e-07  8.9125331e-09
   348 : -2.6658620e-21  4.6745389e-21  3.3095288e-22
   349 :  1.2523820e-04 -1.6019163e-05 -4.0307362e-05
   350 :  2.2847227e-07 -8.9194971e-08 -6.4881619e-08
   351 : -1.3448054e-02 -6.7726777e-03  4.4582954e-03
   352 :  4.4310960e-11  1.4771396e-11 -1.4716913e-10
   353 : -3.8914463e-03 -9.2154747e-03  3.3899643e-03
   354 : -9.8847330e-15 -8.8456142e-15  3.2219834e-14
   355 :  6.7769614e-10 -3.0612950e-10 -3.4264918e-10
   356 : -6.7890102e-14  2.1313722e-13 -7.1174683e-14
   357 :  7.2828167e-16  1.0328160e-15 -8.4361561e-16
   358 :  1.0483142e-08  1.2234652e-08 -3.5651209e-08
   359 : -1.0987127e-16 -6.7361764e-17  8.4518110e-17
   360 : -3.4618922e-10 -5.5867395e-10  4.2450815e-10
   361 : -1.4287116e-06 -1.2224910e-06  5.1207678e-06
   362 :  1.9265481e-12 -4.3121022e-13 -3.6028561e-12
   363 :  2.1433402e-08 -5.7125602e-08  6.5017282e-09
   364 : -8.5856897e-10 -1.0236100e-09  3.2509198e-09
   365 :  4.8982210e-05 -2.6011194e-05 -1.2477543e-04
   366 :  7.8134985e-01  7.3121155e-01  6.9368948e-01
   367 :  4.9366418e-01  3.5915932e-01  9.6912285e-02
   368 : -1.4039880e-06 -1.2007083e-06  7.2088889e-06
   369 : -3.7677989e-02  1.3086263e-01 -1.1395805e-02
   370 : -4.0273307e-23  1.5687449e-22 -2.4665328e-22
   371 :  1.2138178e-01  6.1650938e-02 -4.2117904e-02
   372 :  2.4762386e-27  1.0461307e-26 -1.5499690e-26
   373 : -1.9522594e-15  1.9561671e-15 -2.9963051e-15
   374 :  4.0175079e-15 -8.0790658e-16 -1.7619246e-15
   375 : -7.7647915e-10  1.0055938e-09  7.0366931e-10
   376 :  6.9002341e-09 -7.9291199e-08  3.3636963e-08
   377 : -4.4167979e-11  1.9759501e-11  7.9944842e-12
   378 :  1.4079487e-18 -5.8880815e-18  3.4071405e-18
   379 :  3.0294338e-03  2.2836640e-03 -7.6241369e-04
   380 : -1.5422230e-08  7.0878830e-08 -4.3084809e-08
   381 :  2.0297596e-13  3.6410492e-13 -2.6215584e-13
   382 :  3.5385588e-17  3.7388126e-17 -1.1477790e-16
   383 :  1.2741054e-28 -1.9212023e-28  2.6095476e-28
   384 :  1.1479442e-13  4.1982253e-14 -7.1387224e-14
   385 :  3.2660731e-02 -2.4267077e-02 -4.0967383e-02
   386 :  2.3968868e-11 -3.3633789e-11 -2.4182404e-11
   387 : -3.1097562e-18  9.1811490e-18 -2.5266291e-18
   388 : -4.9489747e-09  4.6613193e-09  6.0141007e-10
   389 :  1.4055948e-12 -5.7284704e-13 -2.8706653e-12
   390 :  7.0162855e-13 -4.1375379e-13  1.9569625e-13
   391 : -2.9387325e-02 -3.0786503e-02  1.0451699e-02
   392 : -5.7627390e-12  2.0879995e-12  9.1986323e-13
   393 :  3.7745698e-10 -9.0120131e-10  1.4179990e-10
   394 :  4.7187088e-11 -3.0273780e-11 -6.0502419e-12
   395 : -1.3676566e-07  1.1952819e-07 -2.1973556e-07
   396 :  8.8635852e-06 -4.1875921e-05  1.5464248e-05
   397 : -6.9311405e-03  1.5734177e-03  1.8750083e-03
   398 :  2.8332263e-20  8.3564856e-20 -1.5834126e-19
   399 :  2.2347144e-13  2.5332218e-13 -8.6131700e-13
   400 :  2.0609091e-12 -4.3907479e-12 -2.4178185e-14
   401 : -2.4161827e-05 -4.9960916e-05  2.2557730e-05
   402 :  6.0968852e-04 -3.9834440e-04  1.1494683e-05
   403 : -5.8699979e-09  1.6236114e-08 -4.4402698e-09
   404 : -1.2895629e-11 -5.2356864e-13  1.5462633e-11
   405 : -7.8949885e-12  1.7532697e-11 -3.3792702e-11
   406 : -5.2364196e-04  7.0783304e-05  8.5170682e-05
   407 : -6.1233521e-14  1.5747742e-14  5.6732859e-14
   408 :  7.0572565e-17 -1.2806031e-16 -5.0546294e-18
   409 :  1.6740788e-10 -1.2652297e-10  1.4205602e-10
   410 :  2.0227703e-13 -2.5829614e-13  2.7840129e-14
   411 :  1.4892357e-09  3.1069697e-09 -1.8682817e-09
   412 :  4.6893850e-08 -2.5623600e-09 -3.4393765e-08
   413 :  3.4705568e-10  6.5461351e-09 -7.3776945e-09
   414 : -9.3023479e-11  5.2091579e-10 -1.2712307e-09
   415 : -1.0771880e-10  1.2672242e-10  1.2954190e-10
   416 : -1.4612653e-17  1.0150636e-17 -6.6836637e-18
   417 :  8.2678366e-04  3.3687726e-04  1.4770722e-03
   418 :  4.7579139e-06 -3.7916596e-06 -7.6057806e-06
   419 : -5.0037631e-04  1.1659930e-04  2.6495195e-05
   420 : -3.2500557e-04  6.7216186e-04 -4.4139601e-05
   421 : -4.3983193e-06  5.4576984e-06 -9.4618078e-06
   422 :  1.2255582e-22  9.6799949e-22 -5.2240471e-22
   423 : -1.6338983e-10 -2.9065565e-10  9.8364124e-10
   424 : -1.6669557e-02  6.5537978e-02 -4.8127664e-03
